what,kind,bundleId,bundleVersion,description,time
ws,sysinfo,,,"win32",1293276435431
locale,sysinfo,,,"es_ES",1293276435431
processors,sysinfo,,,"4",1293276435431
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1293276435431
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1293276435431
java.specification.name,sysinfo,,,"Java Platform API Specification",1293276435431
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276435431
java.specification.version,sysinfo,,,"1.6",1293276435431
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276435431
java.version,sysinfo,,,"1.6.0_22",1293276435431
java.vm.info,sysinfo,,,"mixed mode",1293276435431
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1293276435431
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1293276435431
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276435431
java.vm.specification.version,sysinfo,,,"1.0",1293276435431
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1293276435431
java.vm.version,sysinfo,,,"17.1-b03",1293276435431
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1293276444154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276448404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276449686
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293276449793
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293276450011
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1293276450190
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1293276450191
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1293276450232
